TeamID,TeamName,FirstD1Season,LastD1Season,Sponsor,Notes:,2019sponsorshipvalue,
1212,Grambling,1985,2020,Adidas,news,"$1,200 ",
1213,Grand Canyon,2014,2020,Nike,,,
1214,Hampton,1996,2020,UA,google image,,
1215,Hardin-Simmons,1985,1990,,,,
1216,Hartford,1985,2020,UA,,,
1217,Harvard,1985,2020,Nike,google image,,
1218,Hawaii,1985,2020,UA,,,
1219,High Point,2000,2020,Adidas,,,
1220,Hofstra,1985,2020,Nike,google image,,
1221,Holy Cross,1985,2020,Adidas,,,
1222,Houston,1985,2020,Nike,,"$1,300 ",
1223,Houston Bap,1985,2020,Nike,google image,,
1224,Howard,1985,2020,UA,google image,,
1225,Idaho,1985,2020,Nike,,,
1226,Idaho St,1985,2020,Adidas,google image,,
1227,IL Chicago,1985,2020,Adidas,google image,,
1228,Illinois,1985,2020,Nike,,,
1229,Illinois St,1985,2020,Nike,,,
1230,Incarnate Word,2014,2020,Adidas,google image,,
1231,Indiana,1985,2020,Adidas,,,
1232,Indiana St,1985,2020,UA,google image,,
1233,Iona,1985,2020,Adidas,,,
1234,Iowa,1985,2020,Nike,,"$3,500 ",
1235,Iowa St,1985,2020,Nike,,"$1,515 ",
1236,PFW,2003,2020,UA,google image,,
1237,IUPUI,1999,2020,Adidas,google image,,
1238,Jackson St,1985,2020,Nike,google image,,
1239,Jacksonville,1985,2020,Nike,google image,,
1240,Jacksonville St,1996,2020,Adidas,,,
1241,James Madison,1985,2020,Nike,,,
1242,Kansas,1985,2020,Adidas,,"$6,700 ",
1243,Kansas St,1985,2020,Nike,,"$1,850 ",
1244,Kennesaw,2006,2020,Adidas,google image,,
1245,Kent,1985,2020,UA,google image,,
1246,Kentucky,1985,2020,Nike,,"$3,725 ",
1247,La Salle,1985,2020,UA,,,
1248,Lafayette,1985,2020,Nike,google image,,
1249,Lamar,1985,2020,Nike,google image,,
1250,Lehigh,1985,2020,Nike,google image,,
1251,Liberty,1989,2020,Nike,google image,,
1252,Lipscomb,2003,2020,Nike,google image,,
1253,Long Beach St,1985,2020,Nike,google image,,
1254,LIU Brooklyn,1985,2020,Adidas,google image,,
1255,Longwood,2005,2020,Adidas,,,
1256,Louisiana Tech,1985,2020,Adidas,,,
1257,Louisville,1985,2020,Adidas,,"$19,000 ",
1258,Loy Marymount,1985,2020,Adidas,google image,,
1259,Loyola MD,1985,2020,UA,google image,,
1260,Loyola-Chicago,1985,2020,Nike,google image,,
1261,LSU,1985,2020,Nike,,"$4,400 ",
1262,MA Lowell,2014,2020,UA,google image,,
1263,Maine,1985,2020,Nike,google image,,
1264,Manhattan,1985,2020,UA,,,
1265,Marist,1985,2020,Nike,google image,,
1266,Marquette,1985,2020,Nike,google image,,
1267,Marshall,1985,2020,Nike,,,
1268,Maryland,1985,2020,UA,,"$4,800 ",
1269,Massachusetts,1985,2020,Adidas,google image,,
1270,McNeese St,1985,2020,UA,google image,,
1271,MD E Shore,1985,2020,Nike,google image,,
1272,Memphis,1985,2020,Nike,,,
1273,Mercer,1985,2020,Adidas,,,
1274,Miami FL,1986,2020,Adidas,2015 deal for 6.55/yr,6550,
1275,Miami OH,1985,2020,Adidas,google image,,
1276,Michigan,1985,2020,Nike,,"$9,940 ",
1277,Michigan St,1985,2020,Nike,,"$4,060 ",
1278,Minnesota,1985,2020,Nike,,"$2,404 ",
1279,Mississippi,1985,2020,Nike,ole miss,"$2,050 ",
1280,Mississippi St,1985,2020,Adidas,,,
1281,Missouri,1985,2020,Nike,,,
1282,Missouri KC,1990,2020,Adidas,google image,,
1283,Missouri St,1985,2020,Adidas,,,
1284,Monmouth NJ,1985,2020,Nike,google image,,
1285,Montana,1985,2020,Nike,,,
1286,Montana St,1985,2020,UA,,,
1287,Morehead St,1985,2020,UA,,,
1288,Morgan St,1985,2020,Adidas,,,
1289,Morris Brown,2002,2003,,google image,,
1290,MS Valley St,1985,2020,Russell,google image,,
1291,Mt St Mary's,1989,2020,UA,google image,,
1292,MTSU,1985,2020,Nike,google image,,
1293,Murray St,1985,2020,Nike,google image,,
1294,N Colorado,2005,2020,UA,google image,,
1295,N Dakota St,2006,2020,Adidas,google image,,
1296,N Illinois,1985,2020,Adidas,google image,,
1297,N Kentucky,2013,2020,Adidas,google image,,
1298,Navy,1985,2020,UA,,,
1299,NC A&T,1985,2020,Nike,google image,,
1300,NC Central,2008,2020,Nike,google image,,
1301,NC State,1985,2020,Adidas,2017 deal through 2022,3650,
1302,NE Illinois,1991,1998,,,,
1303,NE Omaha,2012,2020,Adidas,google image,,
1304,Nebraska,1985,2020,Adidas,,,
1305,Nevada,1985,2020,Nike,,,
1306,New Hampshire,1985,2020,Nike,google image,,
1307,New Mexico,1985,2020,Nike,google image,,
1308,New Mexico St,1985,2020,UA,,$400 ,
1309,New Orleans,1985,2020,UA,google image,,
1310,Niagara,1985,2020,Nike,google image,,
1311,Nicholls St,1985,2020,Adidas,,,
1312,NJIT,2007,2020,Adidas,,,
1313,Norfolk St,1998,2020,Nike,google image,,
1314,North Carolina,1985,2020,Nike,,"$9,000 ",
1315,North Dakota,2009,2020,Nike,google image,,
1316,North Florida,2006,2020,Nike,google image,,
1317,North Texas,1985,2020,Nike,google image,,
1318,Northeastern,1985,2020,UA,google image,,
1319,Northern Arizona,1985,2020,Adidas,google image,,
1320,Northern Iowa,1985,2020,Nike,,,
1321,Northwestern,1985,2020,UA,,,
1322,Northwestern LA,1985,2020,Adidas,Northwester State Univeristy is full name - Google Images,,
1323,Notre Dame,1985,2020,UA,,,
1324,Oakland,2000,2020,Nike,google image,,
1325,Ohio,1985,2020,Adidas,search result ohio switched from nike to adidas in 2019,$395 ,
1326,Ohio St,1985,2020,Nike,,"$10,600 ",
1327,Okla City,1985,1985,,,,
1328,Oklahoma,1985,2020,Nike,,"$6,400 ",
1329,Oklahoma St,1985,2020,Nike,,,
1330,Old Dominion,1985,2020,UA,,$350 ,
1331,Oral Roberts,1985,2020,Nike,google image,,
1332,Oregon,1985,2020,Nike,,"$7,000 ",
1333,Oregon St,1985,2020,Nike,,,
1334,Pacific,1985,2020,Nike,google image,,
1335,Penn,1985,2020,Nike,google image,,
1336,Penn St,1985,2020,Nike,,,
1337,Pepperdine,1985,2020,Nike,google image,,
1338,Pittsburgh,1985,2020,Nike,google image,,
1339,Portland,1985,2020,Nike,google image,,
1340,Portland St,1999,2020,Nike,,,
1341,Prairie View,1985,2020,Adidas,google image,,
1342,Presbyterian,2008,2020,Adidas,,,
1343,Princeton,1985,2020,Nike,google image,,
1344,Providence,1985,2020,Nike,,,
1345,Purdue,1985,2020,Nike,,"$2,050 ",
1346,Quinnipiac,1999,2020,Adidas,,,
1347,Radford,1985,2020,Nike,google image,,
1348,Rhode Island,1985,2020,Adidas,,,
1349,Rice,1985,2020,Adidas,,,
1350,Richmond,1985,2020,Nike,google image,,
1351,Rider,1985,2020,Adidas,,,
1352,Robert Morris,1985,2020,UA,google image,,
1353,Rutgers,1985,2020,Adidas,google image,,
1354,S Carolina St,1985,2020,Nike,google image,,
1355,S Dakota St,2006,2020,UA,google image,,
1356,S Illinois,1985,2020,UA,google image,,
1357,Sacred Heart,2000,2020,Adidas,,,
1358,Sam Houston St,1987,2020,Nike,google image,,
1359,Samford,1985,2020,Nike,google image,,
1360,San Diego,1985,2020,Nike,,,
1361,San Diego St,1985,2020,Nike,,,
1362,San Francisco,1986,2020,Nike,,,
1363,San Jose St,1985,2020,Nike,google image,,
1364,UC Santa Barbara,1985,2020,Nike,google image,,
1365,Santa Clara,1985,2020,Nike,google image,,
1366,Savannah St,2003,2019,Russell,switched from nike 2017,,
1367,SC Upstate,2008,2020,Nike,google image,,
1368,SE Louisiana,1985,2020,Adidas,google image,,
1369,SE Missouri St,1992,2020,UA,google image,,
1370,Seattle,2009,2020,Nike,google image,,
1371,Seton Hall,1985,2020,UA,,,
1372,SF Austin,1987,2020,UA,google image,,
1373,Siena,1985,2020,UA,google image,,
1374,SMU,1985,2020,Nike,google image,,
1375,South Alabama,1985,2020,Adidas,google image,,
1376,South Carolina,1985,2020,UA,,,
1377,South Dakota,2009,2020,Adidas,,,
1378,South Florida,1985,2020,UA,,,
1379,Southern Miss,1985,2020,Nike,,,
1380,Southern Univ,1985,2020,Russell,google image,,
1381,Southern Utah,1989,2020,Adidas,,,
1382,St Bonaventure,1985,2020,Adidas,google image,,
1383,St Francis NY,1985,2020,UA,google image,,
1384,St Francis PA,1985,2020,Nike,google image,,
1385,St John's,1985,2020,Nike,switched from UA 2019,,
1386,St Joseph's PA,1985,2020,Nike,google image,,
1387,St Louis,1985,2020,Nike,google image,,
1388,St Mary's CA,1985,2020,UA,google image,,
1389,St Peter's,1985,2020,Nike,google image,,
1390,Stanford,1985,2020,Nike,,,
1391,Stetson,1985,2020,Nike,google image,,
1392,Stony Brook,2000,2020,Nike,google image,,
1393,Syracuse,1985,2020,Nike,,,
1394,TAM C. Christi,2003,2020,Adidas,google image,,
1395,TCU,1985,2020,Nike,google image,,
1396,Temple,1985,2020,UA,,,
1397,Tennessee,1985,2020,Nike,,"$4,000 ",
1398,Tennessee St,1985,2020,Nike,google image,,
1399,Tennessee Tech,1985,2020,Nike,google image,,
1400,Texas,1985,2020,Nike,,,
1401,Texas A&M,1985,2020,Adidas,,,
1402,Texas St,1985,2020,Adidas,,,
1403,Texas Tech,1985,2020,UA,,"$2,750 ",
1404,TN Martin,1993,2020,UA,google image,,
1405,Toledo,1985,2020,Nike,,,
1406,Towson,1985,2020,UA,,,
1407,Troy,1994,2020,Adidas,,,
1408,Tulane,1985,2020,Nike,google image,,
1409,Tulsa,1985,2020,Adidas,google image,,
1410,UTRGV,1985,2020,Adidas,google image,,
1411,TX Southern,1985,2020,Russell,google image,,
1412,UAB,1985,2020,UA,,,
1413,UC Davis,2005,2020,Adidas,,,
1414,UC Irvine,1985,2020,Adidas,,,
1415,UC Riverside,2002,2020,Adidas,,,
1416,UCF,1985,2020,Nike,,,
1417,UCLA,1985,2020,UA,,,
1418,Louisiana,1985,2020,Nike,google image,,
1419,ULM,1985,2020,Adidas,google image,,
1420,UMBC,1987,2020,UA,,,
1421,UNC Asheville,1987,2020,Adidas,,,
1422,UNC Greensboro,1992,2020,Nike,google image,,
1423,UNC Wilmington,1985,2020,Adidas,google image,,
1424,UNLV,1985,2020,Nike,,,
1425,USC,1985,2020,Nike,,,
1426,UT Arlington,1985,2020,UA,google image,,
1427,UT San Antonio,1985,2020,Adidas,google image,,
1428,Utah,1985,2020,UA,,,
1429,Utah St,1985,2020,Nike,,$450 ,
1430,Utah Valley,2005,2020,Adidas,,,
1431,UTEP,1985,2020,Nike,,,
1432,Utica,1985,1987,,,,
1433,VCU,1985,2020,Nike,google image,,
1434,Valparaiso,1985,2020,Nike,,,
1435,Vanderbilt,1985,2020,Nike,,,
1436,Vermont,1985,2020,Adidas,,,
1437,Villanova,1985,2020,Nike,,,
1438,Virginia,1985,2020,Nike,,"$3,325 ",
1439,Virginia Tech,1985,2020,Nike,,"$2,110 ",
1440,VMI,1985,2020,UA,,,
1441,W Carolina,1985,2020,Adidas,google image,,
1442,W Illinois,1985,2020,Adidas,google image,,
1443,WKU,1985,2020,Nike,,,
1444,W Michigan,1985,2020,Adidas,google image,,
1445,W Salem St,2007,2010,,,,
1446,W Texas A&M,1985,1986,,,,
1447,Wagner,1985,2020,UA,google image,,
1448,Wake Forest,1985,2020,Nike,,,
1449,Washington,1985,2020,Nike,,"$3,892 ",
1450,Washington St,1985,2020,Nike,,,
1451,Weber St,1985,2020,Adidas,,,
1452,West Virginia,1985,2020,Nike,,,
1453,WI Green Bay,1985,2020,Adidas,google image,,
1454,WI Milwaukee,1991,2020,Adidas,google image,,
1455,Wichita St,1985,2020,UA,,,
1456,William & Mary,1985,2020,Nike,google image,,
1457,Winthrop,1987,2020,Adidas,,,
1458,Wisconsin,1985,2020,UA,,"$9,050 ",
1459,Wofford,1996,2020,Adidas,,,
1460,Wright St,1988,2020,Nike,google image,,
1461,Wyoming,1985,2020,Adidas,transitioned from Nike in 2019,,
1462,Xavier,1985,2020,Nike,google image,,
1463,Yale,1985,2020,UA,,,
1464,Youngstown St,1985,2020,Nike,google image,,
1465,Cal Baptist,2019,2020,Nike,google image,,
1466,North Alabama,2019,2020,Adidas,google image,,
1467,Merrimack,2020,2020,UA,google image,,
